"skill_id","skills","demand_count","avg_salary"
1,"python","763","143828"
0,"sql","591","142833"
5,"r","394","137885"
182,"tableau","219","146970"
76,"aws","217","149630"
92,"spark","149","150188"
99,"tensorflow","126","151536"
74,"azure","122","142306"
101,"pytorch","115","152603"
93,"pandas","113","144816"
7,"sas","110","129920"
186,"sas","110","129920"
97,"hadoop","82","143322"
106,"scikit-learn","81","148964"
181,"excel","77","129224"
94,"numpy","73","149089"
183,"power bi","72","131390"
80,"snowflake","72","152687"
4,"java","64","145706"
75,"databricks","63","139631"
81,"gcp","59","155811"
210,"git","58","132599"
8,"go","57","164691"
185,"looker","57","158715"
3,"scala","56","156702"
26,"c","48","164865"
108,"matplotlib","40","143824"
100,"keras","39","141634"
214,"docker","37","132536"
102,"jupyter","37","129281"
78,"redshift","36","151708"
77,"bigquery","36","157142"
13,"c++","35","129834"
15,"matlab","34","120895"
95,"pyspark","34","147544"
2,"nosql","31","146110"
79,"oracle","31","119475"
216,"github","28","132707"
61,"sql server","28","118435"
9,"javascript","26","104810"
215,"flow","25","140027"
213,"kubernetes","25","144498"
22,"vba","24","107079"
196,"powerpoint","23","145139"
96,"airflow","23","157414"
233,"jira","22","151165"
199,"spss","21","131101"
169,"linux","21","136469"
