"job_title","skills","avg_salary"
"Geographic Information Systems Analyst - GIS Analyst","excel","585000"
"Staff Data Scientist/Quant Researcher","python","550000"
"Staff Data Scientist/Quant Researcher","sql","550000"
"Staff Data Scientist - Business Analytics","sql","525000"
"Data Scientist (L5) - Member Product","r","450000"
"Data Scientist (L5) - Member Product","python","450000"
"Data Scientist (L5) - Member Product","sql","450000"
"Director of Data Science","slack","375000"
"Data Science Director, Adoption & Enterprise","r","375000"
"Data Science Director, Adoption & Enterprise","scala","375000"
